Type,conn,Payload,dialup,,,latency,,,,,,,throughput,Mode,,speed,,,success,latency,,,,,,,throughput,dialup,,,speed,,
,,,average,fastest,slowest,10%,25%,50%,75%,90%,95%,99%,Mib,secs,count,slowest,fastest,average,,10,25,50,75,90,95,99,,average,slowest,fastest,slowest,fastest,average
nodelay,mobile,1mb,0.1582,0.1052,1.3587,0.5268,0.5622,0.606,0.6635,0.7726,0.8928,1.6721,7.62,0.687,1093,2.8838,0.4424,0.6484,100%,,,,,,,,,,,,,,
delay,dc,10b,0.0027,0.0017,0.0143,0.0439,0.044,0.044,0.0479,0.048,0.0481,0.052,0.000210762,0.045,2909,0.057,0.0435,0.0452,100%,-42.1,-41.9,-41.5,-45,-45,-44.9,-48.4,-0.003617363,-0.6,-0.3,3,-39.4,-41.8,-42.7
nodelay,dc,10b,0.0021,0.0014,0.0173,0.0018,0.0021,0.0025,0.0029,0.003,0.0032,0.0036,0.003828125,0.003,69661,0.0176,0.0017,0.0025,100%,,,,,,,,,,,,,,
delay,dc,200kb,0.0024,0.0016,0.022,0.0043,0.0046,0.005,0.0054,0.0056,0.0059,0.0069,38.72,0.009,35495,0.0512,0.0041,0.005,100%,-0.2,-0.2,-0.2,-0.4,-0.4,-0.4,-0.6,-2.53,-0.1,-0.2,-2.2,-25.9,-0.4,-0.3
nodelay,dc,200kb,0.0023,0.0014,0.0198,0.0041,0.0044,0.0048,0.005,0.0052,0.0055,0.0063,41.25,0.006,37211,0.0253,0.0037,0.0047,100%,,,,,,,,,,,,,,
delay,dc,512kb,0.0024,0.0016,0.0186,0.0072,0.0075,0.0078,0.0082,0.0085,0.0088,0.0107,62.74,0.011,22388,0.051,0.0069,0.008,100%,-0.2,-0.3,-0.2,-0.4,-0.4,-0.5,-1.1,-3.13,-0.1,-0.2,-2.3,-25.7,-0.4,-0.4
nodelay,dc,512kb,0.0023,0.0014,0.0163,0.007,0.0072,0.0076,0.0078,0.0081,0.0083,0.0096,65.87,0.008,22604,0.0253,0.0065,0.0076,100%,,,,,,,,,,,,,,
delay,dc,1mb,0.0025,0.0016,0.0668,0.0121,0.0124,0.0129,0.0132,0.0138,0.014,0.0157,77.21,0.018,13812,0.0772,0.0116,0.0129,100%,-0.5,-0.4,-0.5,-0.5,-0.8,-0.8,-0.2,-3.3,-0.2,-0.2,-53.9,-49,-0.5,-0.5
nodelay,dc,1mb,0.0023,0.0014,0.0129,0.0116,0.012,0.0124,0.0127,0.013,0.0132,0.0155,80.51,0.013,11896,0.0282,0.0111,0.0124,100%,,,,,,,,,,,,,,
delay,lo-norm,10b,0.2551,0.008,7.4811,0.1906,0.2283,0.2905,0.4113,0.5837,0.7322,1.2777,27.36,0.809,485510,7.5695,0.058,0.356,100%,-15.6,4.8,67.1,111.8,123.2,135.4,11.1,3.93,55.7,-1,-3871.9,-3938,-38.7,59.4
nodelay,lo-norm,10b,0.3108,0.007,3.6092,0.175,0.2331,0.3576,0.5231,0.7069,0.8676,1.2888,23.43,0.381,233435,3.6315,0.0193,0.4154,100%,,,,,,,,,,,,,,
delay,lo-norm,200kb,0.3033,0.005,3.4575,0.2381,0.3076,0.4114,0.5528,0.7293,0.8662,1.318,422.58,0.427,207723,3.7507,0.0573,0.4609,100%,5.4,3.8,19.5,49.9,77,101.7,71.9,27.74,27.8,1.1,479,285.3,-4.7,32
nodelay,lo-norm,200kb,0.3311,0.0061,3.9365,0.2435,0.3114,0.4309,0.6027,0.8063,0.9679,1.3899,394.84,0.451,195067,4.036,0.0526,0.4929,100%,,,,,,,,,,,,,,
delay,lo-norm,1mb,0.0314,0.0013,0.345,0.3589,0.5646,0.8351,1.1516,1.4517,1.647,2.0434,1126.4,0.996,92126,4.9631,0.0043,0.8832,100%,41.5,39.9,53.5,36.2,39.8,40.5,39.3,40.96,-1,0,781.6,-670.3,-0.1,36
nodelay,lo-norm,1mb,0.0304,0.0013,1.1266,0.4004,0.6045,0.8886,1.1878,1.4915,1.6875,2.0827,1085.44,0.862,70969,4.2928,0.0042,0.9192,100%,,,,,,,,,,,,,,
delay,lo-delay,10b,0.201,0.1882,0.2744,0.4269,0.4318,0.4398,0.4514,0.4674,0.4762,0.4954,0.3515625,0.439,2907,0.5602,0.4093,0.4438,100%,192.3,198.3,211.8,238.9,305.4,434.8,863.7,-4.1584375,0.0003,-0.0001,0.0023,1387.8,181.4,247.9
nodelay,lo-delay,10b,0.2013,0.1881,0.2767,0.6192,0.6301,0.6516,0.6903,0.7728,0.911,1.3591,4.51,0.726,3618,1.948,0.5907,0.6917,100%,,,,,,,,,,,,,,
delay,lo-delay,200kb,0.201,0.1881,0.2667,0.6228,0.6368,0.6738,0.7088,0.7839,0.901,1.2947,4.45,0.733,3478,2.0077,0.5915,0.7013,100%,-3.6,-6.7,-22.2,-18.5,-11.1,10,64.4,-0.06,0.0003,0,0.01,-59.7,-0.8,-9.6
nodelay,lo-delay,200kb,0.2013,0.1881,0.2767,0.6192,0.6301,0.6516,0.6903,0.7728,0.911,1.3591,4.51,0.726,3618,1.948,0.5907,0.6917,100%,,,,,,,,,,,,,,
delay,lo-delay,1mb,0.0828,0.0011,15.4926,0.0028,0.0032,0.0442,0.2836,1.0319,1.572,3.6239,42.61,2.65,7481,26.4835,0.0021,0.3741,100%,-0.2,-0.4,-40.5,-43.7,-67.1,-85.9,-155.5,-6.47,-0.0074,0,-0.1492,28106.8,0,-55.9
nodelay,lo-delay,1mb,0.0754,0.0011,15.3434,0.0026,0.0028,0.0037,0.2399,0.9648,1.4861,3.4684,49.08,5.461,8785,54.5903,0.0021,0.3182,100%,,,,,,,,,,,,,,
